"obs" "trl" "sub" "itm" "tsk" "vgn" "qty" "rt" "bd"
"1972" 1972 180 "s08" "36:45:54" "Verbal" "Crisp" "Small" 1188 0
"1973" 1973 181 "s08" "6:15:24" "Numerical" "Vague" "Big" 740 0
"1974" 1974 182 "s08" "16:25:34" "Verbal" "Vague" "Big" 698 0
"1975" 1975 183 "s08" "26:35:44" "Verbal" "Crisp" "Small" 899 0
"1976" 1976 184 "s08" "36:45:54" "Numerical" "Crisp" "Small" 753 0
"1977" 1977 185 "s08" "6:15:24" "Numerical" "Crisp" "Big" 687 0
"1978" 1978 186 "s08" "16:25:34" "Verbal" "Crisp" "Small" 746 0
"1979" 1979 187 "s08" "26:35:44" "Verbal" "Vague" "Big" 797 0
"1980" 1980 188 "s08" "36:45:54" "Verbal" "Crisp" "Big" 820 0
"1981" 1981 189 "s08" "6:15:24" "Numerical" "Crisp" "Small" 618 0
"1982" 1982 190 "s08" "16:25:34" "Numerical" "Vague" "Big" 692 0
"1983" 1983 191 "s08" "26:35:44" "Numerical" "Crisp" "Small" 1691 1
"1984" 1984 192 "s08" "36:45:54" "Verbal" "Vague" "Small" 715 0
"1985" 1985 193 "s08" "6:15:24" "Verbal" "Vague" "Big" 606 0
"1986" 1986 194 "s08" "16:25:34" "Numerical" "Crisp" "Small" 727 1
"1987" 1987 195 "s08" "26:35:44" "Verbal" "Crisp" "Small" 713 0
"1988" 1988 196 "s08" "36:45:54" "Verbal" "Vague" "Big" 740 0
"1989" 1989 197 "s08" "6:15:24" "Numerical" "Vague" "Big" 815 0
"1990" 1990 198 "s08" "16:25:34" "Verbal" "Crisp" "Small" 567 0
"1991" 1991 199 "s08" "26:35:44" "Numerical" "Vague" "Big" 618 0
"1992" 1992 200 "s08" "36:45:54" "Verbal" "Crisp" "Big" 548 0
"1993" 1993 201 "s08" "6:15:24" "Numerical" "Crisp" "Small" 520 0
"1994" 1994 202 "s08" "16:25:34" "Verbal" "Vague" "Small" 487 0
"1995" 1995 203 "s08" "26:35:44" "Numerical" "Crisp" "Small" 1332 1
"1996" 1996 204 "s08" "36:45:54" "Verbal" "Crisp" "Small" 637 0
"1997" 1997 205 "s08" "6:15:24" "Numerical" "Crisp" "Small" 488 0
"1998" 1998 206 "s08" "16:25:34" "Verbal" "Vague" "Big" 825 0
"1999" 1999 207 "s08" "26:35:44" "Verbal" "Crisp" "Big" 514 0
"2000" 2000 208 "s08" "36:45:54" "Numerical" "Crisp" "Big" 514 0
"2001" 2001 209 "s08" "6:15:24" "Numerical" "Vague" "Small" 868 0
"2002" 2002 210 "s08" "16:25:34" "Verbal" "Crisp" "Small" 685 0
"2003" 2003 211 "s08" "26:35:44" "Numerical" "Crisp" "Big" 638 0
"2004" 2004 212 "s08" "36:45:54" "Verbal" "Crisp" "Small" 1103 0
"2005" 2005 213 "s08" "6:15:24" "Verbal" "Vague" "Small" 524 0
"2006" 2006 214 "s08" "16:25:34" "Verbal" "Crisp" "Big" 591 0
"2007" 2007 215 "s08" "26:35:44" "Verbal" "Vague" "Small" 763 0
"2008" 2008 216 "s08" "36:45:54" "Numerical" "Crisp" "Big" 716 0
"2009" 2009 217 "s08" "6:15:24" "Verbal" "Vague" "Small" 625 0
"2010" 2010 218 "s08" "16:25:34" "Numerical" "Vague" "Small" 1150 1
"2011" 2011 219 "s08" "26:35:44" "Numerical" "Vague" "Big" 604 0
"2012" 2012 220 "s08" "36:45:54" "Numerical" "Crisp" "Small" 736 0
"2013" 2013 221 "s08" "6:15:24" "Numerical" "Crisp" "Big" 668 0
"2014" 2014 222 "s08" "16:25:34" "Verbal" "Crisp" "Big" 611 0
"2015" 2015 223 "s08" "26:35:44" "Verbal" "Vague" "Big" 686 0
"2016" 2016 224 "s08" "36:45:54" "Numerical" "Crisp" "Small" 639 0
"2017" 2017 225 "s08" "6:15:24" "Verbal" "Crisp" "Small" 534 0
"2018" 2018 226 "s08" "16:25:34" "Numerical" "Crisp" "Small" 1014 0
"2019" 2019 227 "s08" "26:35:44" "Verbal" "Vague" "Small" 626 0
"2020" 2020 228 "s08" "36:45:54" "Numerical" "Vague" "Big" 613 0
"2021" 2021 229 "s08" "6:15:24" "Verbal" "Crisp" "Big" 638 0
"2022" 2022 230 "s08" "16:25:34" "Numerical" "Vague" "Big" 551 0
"2023" 2023 231 "s08" "26:35:44" "Verbal" "Crisp" "Small" 924 0
"2024" 2024 232 "s08" "36:45:54" "Verbal" "Vague" "Small" 1093 0
"2025" 2025 233 "s08" "6:15:24" "Numerical" "Vague" "Big" 1759 1
"2026" 2026 234 "s08" "16:25:34" "Verbal" "Vague" "Small" 535 0
"2027" 2027 235 "s08" "26:35:44" "Numerical" "Crisp" "Small" 728 1
"2028" 2028 236 "s08" "36:45:54" "Numerical" "Vague" "Big" 536 0
"2029" 2029 237 "s08" "6:15:24" "Verbal" "Vague" "Big" 577 0
"2030" 2030 238 "s08" "16:25:34" "Numerical" "Vague" "Small" 1075 1
"2031" 2031 239 "s08" "26:35:44" "Verbal" "Crisp" "Big" 579 0
"2032" 2032 240 "s08" "36:45:54" "Verbal" "Crisp" "Big" 649 0
"2033" 2033 241 "s08" "6:15:24" "Verbal" "Crisp" "Big" 659 0
"2034" 2034 242 "s08" "16:25:34" "Verbal" "Vague" "Big" 676 0
"2035" 2035 243 "s08" "26:35:44" "Numerical" "Vague" "Small" 892 1
"2036" 2036 244 "s08" "36:45:54" "Verbal" "Vague" "Small" 756 0
"2037" 2037 245 "s08" "6:15:24" "Numerical" "Vague" "Small" 650 0
"2038" 2038 246 "s08" "16:25:34" "Numerical" "Crisp" "Big" 737 0
"2039" 2039 247 "s08" "26:35:44" "Verbal" "Vague" "Big" 878 0
"2040" 2040 248 "s08" "36:45:54" "Verbal" "Vague" "Big" 789 0
"2041" 2041 249 "s08" "6:15:24" "Numerical" "Crisp" "Big" 689 0
"2042" 2042 250 "s08" "16:25:34" "Numerical" "Vague" "Big" 910 0
"2043" 2043 251 "s08" "26:35:44" "Numerical" "Crisp" "Big" 916 0
"2044" 2044 252 "s08" "36:45:54" "Numerical" "Vague" "Small" 807 0
"2045" 2045 253 "s08" "6:15:24" "Verbal" "Crisp" "Small" 616 0
"2046" 2046 254 "s08" "16:25:34" "Numerical" "Crisp" "Big" 954 0
"2047" 2047 255 "s08" "26:35:44" "Numerical" "Vague" "Small" 671 0
"2048" 2048 256 "s08" "36:45:54" "Numerical" "Vague" "Small" 617 0
"2049" 2049 1 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1295 0
"2050" 2050 2 "s09" "16:25:34" "Numerical" "Crisp" "Small" 1481 0
"2051" 2051 3 "s09" "26:35:44" "Numerical" "Crisp" "Big" 3345 1
"2052" 2052 4 "s09" "36:45:54" "Verbal" "Vague" "Small" 1587 0
"2053" 2053 5 "s09" "6:15:24" "Verbal" "Vague" "Small" 1252 0
"2054" 2054 6 "s09" "16:25:34" "Numerical" "Vague" "Small" 2704 1
"2055" 2055 7 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1274 0
"2056" 2056 8 "s09" "36:45:54" "Numerical" "Vague" "Big" 4586 0
"2057" 2057 9 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1281 0
"2058" 2058 10 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1806 0
"2059" 2059 11 "s09" "26:35:44" "Verbal" "Vague" "Small" 1186 0
"2060" 2060 12 "s09" "36:45:54" "Numerical" "Vague" "Big" 2028 0
"2061" 2061 13 "s09" "6:15:24" "Numerical" "Vague" "Small" 4961 1
"2062" 2062 14 "s09" "16:25:34" "Verbal" "Vague" "Big" 1703 0
"2063" 2063 15 "s09" "26:35:44" "Numerical" "Vague" "Small" 3057 1
"2064" 2064 16 "s09" "36:45:54" "Verbal" "Vague" "Big" 1225 0
"2065" 2065 17 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1432 0
"2066" 2066 18 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1487 0
"2067" 2067 19 "s09" "26:35:44" "Numerical" "Vague" "Small" 2619 1
"2068" 2068 20 "s09" "36:45:54" "Numerical" "Vague" "Small" 2547 1
"2069" 2069 21 "s09" "6:15:24" "Numerical" "Vague" "Small" 3360 1
"2070" 2070 22 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1107 0
"2071" 2071 23 "s09" "26:35:44" "Numerical" "Crisp" "Small" 1506 0
"2072" 2072 24 "s09" "36:45:54" "Numerical" "Crisp" "Big" 2982 0
"2073" 2073 25 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1183 0
"2074" 2074 26 "s09" "16:25:34" "Verbal" "Vague" "Small" 1197 0
"2075" 2075 27 "s09" "26:35:44" "Numerical" "Crisp" "Small" 2143 1
"2076" 2076 28 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1091 0
"2077" 2077 29 "s09" "6:15:24" "Numerical" "Vague" "Big" 2172 0
"2078" 2078 30 "s09" "16:25:34" "Numerical" "Crisp" "Big" 2047 0
"2079" 2079 31 "s09" "26:35:44" "Verbal" "Vague" "Big" 1309 0
"2080" 2080 32 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1512 0
"2081" 2081 33 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1111 0
"2082" 2082 34 "s09" "16:25:34" "Numerical" "Vague" "Small" 1458 1
"2083" 2083 35 "s09" "26:35:44" "Numerical" "Vague" "Big" 2228 0
"2084" 2084 36 "s09" "36:45:54" "Numerical" "Crisp" "Small" 3078 1
"2085" 2085 37 "s09" "6:15:24" "Numerical" "Vague" "Big" 1249 0
"2086" 2086 38 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1317 0
"2087" 2087 39 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1343 0
"2088" 2088 40 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1235 0
"2089" 2089 41 "s09" "6:15:24" "Verbal" "Vague" "Small" 1415 0
"2090" 2090 42 "s09" "16:25:34" "Verbal" "Vague" "Small" 1379 0
"2091" 2091 43 "s09" "26:35:44" "Verbal" "Crisp" "Big" 971 0
"2092" 2092 44 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1617 0
"2093" 2093 45 "s09" "6:15:24" "Verbal" "Crisp" "Big" 2094 0
"2094" 2094 46 "s09" "16:25:34" "Numerical" "Crisp" "Small" 2488 0
"2095" 2095 47 "s09" "26:35:44" "Numerical" "Crisp" "Big" 2068 0
"2096" 2096 48 "s09" "36:45:54" "Numerical" "Vague" "Small" 3144 0
"2097" 2097 49 "s09" "6:15:24" "Verbal" "Vague" "Big" 1417 0
"2098" 2098 50 "s09" "16:25:34" "Numerical" "Vague" "Big" 2041 0
"2099" 2099 51 "s09" "26:35:44" "Verbal" "Vague" "Big" 1477 0
"2100" 2100 52 "s09" "36:45:54" "Numerical" "Crisp" "Small" 1588 1
"2101" 2101 53 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1736 0
"2102" 2102 54 "s09" "16:25:34" "Verbal" "Vague" "Big" 1340 0
"2103" 2103 55 "s09" "26:35:44" "Verbal" "Crisp" "Big" 1349 0
"2104" 2104 56 "s09" "36:45:54" "Numerical" "Crisp" "Big" 1717 0
"2105" 2105 57 "s09" "6:15:24" "Verbal" "Vague" "Big" 1282 0
"2106" 2106 58 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1423 0
"2107" 2107 59 "s09" "26:35:44" "Verbal" "Vague" "Small" 2241 0
"2108" 2108 60 "s09" "36:45:54" "Verbal" "Vague" "Small" 1783 0
"2109" 2109 61 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1207 0
"2110" 2110 62 "s09" "16:25:34" "Numerical" "Vague" "Big" 1617 0
"2111" 2111 63 "s09" "26:35:44" "Numerical" "Vague" "Big" 1917 0
"2112" 2112 64 "s09" "36:45:54" "Verbal" "Vague" "Big" 2233 0
"2113" 2113 65 "s09" "6:15:24" "Numerical" "Vague" "Small" 1189 1
"2114" 2114 66 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1481 0
"2115" 2115 67 "s09" "26:35:44" "Verbal" "Vague" "Big" 1357 0
"2116" 2116 68 "s09" "36:45:54" "Verbal" "Vague" "Small" 1516 0
"2117" 2117 69 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1140 0
"2118" 2118 70 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1144 0
"2119" 2119 71 "s09" "26:35:44" "Numerical" "Crisp" "Big" 1574 0
"2120" 2120 72 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1405 0
"2121" 2121 73 "s09" "6:15:24" "Verbal" "Vague" "Big" 1123 0
"2122" 2122 74 "s09" "16:25:34" "Verbal" "Vague" "Small" 1570 0
"2123" 2123 75 "s09" "26:35:44" "Numerical" "Vague" "Small" 1906 0
"2124" 2124 76 "s09" "36:45:54" "Numerical" "Crisp" "Big" 1364 0
"2125" 2125 77 "s09" "6:15:24" "Numerical" "Vague" "Big" 1243 0
"2126" 2126 78 "s09" "16:25:34" "Verbal" "Vague" "Small" 1436 0
"2127" 2127 79 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1554 0
"2128" 2128 80 "s09" "36:45:54" "Verbal" "Vague" "Big" 2122 0
"2129" 2129 81 "s09" "6:15:24" "Verbal" "Vague" "Small" 1380 0
"2130" 2130 82 "s09" "16:25:34" "Verbal" "Vague" "Big" 2319 0
"2131" 2131 83 "s09" "26:35:44" "Numerical" "Crisp" "Small" 2282 1
"2132" 2132 84 "s09" "36:45:54" "Numerical" "Vague" "Big" 1392 0
"2133" 2133 85 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1215 0
"2134" 2134 86 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1313 0
"2135" 2135 87 "s09" "26:35:44" "Numerical" "Vague" "Small" 1767 1
"2136" 2136 88 "s09" "36:45:54" "Numerical" "Vague" "Small" 2809 0
"2137" 2137 89 "s09" "6:15:24" "Numerical" "Vague" "Small" 1630 1
"2138" 2138 90 "s09" "16:25:34" "Numerical" "Crisp" "Small" 2816 1
"2139" 2139 91 "s09" "26:35:44" "Numerical" "Vague" "Big" 1310 0
"2140" 2140 92 "s09" "36:45:54" "Numerical" "Vague" "Small" 1890 1
"2141" 2141 93 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1304 0
"2142" 2142 94 "s09" "16:25:34" "Numerical" "Vague" "Small" 2518 1
"2143" 2143 95 "s09" "26:35:44" "Verbal" "Vague" "Small" 3445 0
"2144" 2144 96 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1587 0
"2145" 2145 97 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1122 0
"2146" 2146 98 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1728 0
"2147" 2147 99 "s09" "26:35:44" "Verbal" "Vague" "Big" 1551 0
"2148" 2148 100 "s09" "36:45:54" "Numerical" "Crisp" "Small" 1879 1
"2149" 2149 101 "s09" "6:15:24" "Verbal" "Vague" "Big" 2686 0
"2150" 2150 102 "s09" "16:25:34" "Numerical" "Vague" "Big" 1696 0
"2151" 2151 103 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1701 0
"2152" 2152 104 "s09" "36:45:54" "Verbal" "Vague" "Big" 1500 0
"2153" 2153 105 "s09" "6:15:24" "Numerical" "Vague" "Big" 1804 0
"2154" 2154 106 "s09" "16:25:34" "Numerical" "Vague" "Big" 1214 0
"2155" 2155 107 "s09" "26:35:44" "Verbal" "Crisp" "Big" 1267 0
"2156" 2156 108 "s09" "36:45:54" "Numerical" "Crisp" "Small" 2735 1
"2157" 2157 109 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1342 0
"2158" 2158 110 "s09" "16:25:34" "Numerical" "Crisp" "Small" 2328 1
"2159" 2159 111 "s09" "26:35:44" "Numerical" "Vague" "Big" 2140 0
"2160" 2160 112 "s09" "36:45:54" "Numerical" "Crisp" "Big" 1926 0
"2161" 2161 113 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1230 0
"2162" 2162 114 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1234 0
"2163" 2163 115 "s09" "26:35:44" "Verbal" "Vague" "Small" 1450 0
"2164" 2164 116 "s09" "36:45:54" "Verbal" "Vague" "Small" 1498 0
"2165" 2165 117 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1100 0
"2166" 2166 118 "s09" "16:25:34" "Numerical" "Vague" "Small" 1629 1
"2167" 2167 119 "s09" "26:35:44" "Verbal" "Crisp" "Big" 1602 0
"2168" 2168 120 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1727 0
"2169" 2169 121 "s09" "6:15:24" "Verbal" "Vague" "Small" 1204 0
"2170" 2170 122 "s09" "16:25:34" "Verbal" "Vague" "Big" 1385 0
"2171" 2171 123 "s09" "26:35:44" "Numerical" "Crisp" "Small" 1794 1
"2172" 2172 124 "s09" "36:45:54" "Numerical" "Vague" "Big" 1703 0
"2173" 2173 125 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1292 0
"2174" 2174 126 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1662 0
"2175" 2175 127 "s09" "26:35:44" "Numerical" "Crisp" "Big" 1243 0
"2176" 2176 128 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1666 0
"2177" 2177 129 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1229 0
"2178" 2178 130 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1025 0
"2179" 2179 131 "s09" "26:35:44" "Verbal" "Vague" "Big" 1084 0
"2180" 2180 132 "s09" "36:45:54" "Verbal" "Vague" "Small" 1550 0
"2181" 2181 133 "s09" "6:15:24" "Verbal" "Vague" "Small" 1646 0
"2182" 2182 134 "s09" "16:25:34" "Numerical" "Crisp" "Small" 2100 1
"2183" 2183 135 "s09" "26:35:44" "Verbal" "Vague" "Small" 1132 0
"2184" 2184 136 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1733 0
"2185" 2185 137 "s09" "6:15:24" "Numerical" "Vague" "Small" 1632 1
"2186" 2186 138 "s09" "16:25:34" "Verbal" "Vague" "Big" 1048 0
"2187" 2187 139 "s09" "26:35:44" "Numerical" "Crisp" "Small" 2507 1
"2188" 2188 140 "s09" "36:45:54" "Numerical" "Crisp" "Small" 1821 1
"2189" 2189 141 "s09" "6:15:24" "Verbal" "Vague" "Big" 1060 0
"2190" 2190 142 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1169 0
"2191" 2191 143 "s09" "26:35:44" "Numerical" "Vague" "Big" 1266 0
"2192" 2192 144 "s09" "36:45:54" "Verbal" "Vague" "Small" 1445 0
"2193" 2193 145 "s09" "6:15:24" "Numerical" "Vague" "Big" 1369 0
"2194" 2194 146 "s09" "16:25:34" "Numerical" "Vague" "Big" 1563 0
"2195" 2195 147 "s09" "26:35:44" "Numerical" "Vague" "Small" 2848 0
"2196" 2196 148 "s09" "36:45:54" "Numerical" "Crisp" "Big" 1404 0
"2197" 2197 149 "s09" "6:15:24" "Verbal" "Vague" "Small" 1209 0
"2198" 2198 150 "s09" "16:25:34" "Numerical" "Vague" "Small" 1825 1
"2199" 2199 151 "s09" "26:35:44" "Verbal" "Vague" "Big" 1422 0
"2200" 2200 152 "s09" "36:45:54" "Verbal" "Vague" "Big" 1759 0
"2201" 2201 153 "s09" "6:15:24" "Numerical" "Vague" "Small" 1487 1
"2202" 2202 154 "s09" "16:25:34" "Numerical" "Crisp" "Small" 3160 1
"2203" 2203 155 "s09" "26:35:44" "Numerical" "Crisp" "Big" 1356 0
"2204" 2204 156 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1336 0
"2205" 2205 157 "s09" "6:15:24" "Numerical" "Vague" "Big" 2166 0
"2206" 2206 158 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1708 0
"2207" 2207 159 "s09" "26:35:44" "Numerical" "Crisp" "Small" 2877 1
"2208" 2208 160 "s09" "36:45:54" "Numerical" "Vague" "Small" 3286 0
"2209" 2209 161 "s09" "6:15:24" "Verbal" "Vague" "Big" 1452 0
"2210" 2210 162 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1794 0
"2211" 2211 163 "s09" "26:35:44" "Numerical" "Vague" "Big" 1270 0
"2212" 2212 164 "s09" "36:45:54" "Numerical" "Crisp" "Big" 2147 0
"2213" 2213 165 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1142 0
"2214" 2214 166 "s09" "16:25:34" "Numerical" "Vague" "Big" 1375 0
"2215" 2215 167 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1897 0
"2216" 2216 168 "s09" "36:45:54" "Verbal" "Vague" "Big" 2015 0
"2217" 2217 169 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1183 0
"2218" 2218 170 "s09" "16:25:34" "Verbal" "Vague" "Small" 1506 0
"2219" 2219 171 "s09" "26:35:44" "Verbal" "Crisp" "Big" 1936 0
"2220" 2220 172 "s09" "36:45:54" "Numerical" "Vague" "Big" 1490 0
"2221" 2221 173 "s09" "6:15:24" "Numerical" "Crisp" "Big" 2041 0
"2222" 2222 174 "s09" "16:25:34" "Verbal" "Vague" "Small" 1384 0
"2223" 2223 175 "s09" "26:35:44" "Verbal" "Vague" "Small" 2128 0
"2224" 2224 176 "s09" "36:45:54" "Numerical" "Crisp" "Small" 2916 0
"2225" 2225 177 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1304 0
"2226" 2226 178 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1212 0
"2227" 2227 179 "s09" "26:35:44" "Verbal" "Crisp" "Big" 2140 0
"2228" 2228 180 "s09" "36:45:54" "Numerical" "Vague" "Small" 1719 0
"2229" 2229 181 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1279 0
"2230" 2230 182 "s09" "16:25:34" "Verbal" "Vague" "Big" 1271 0
"2231" 2231 183 "s09" "26:35:44" "Numerical" "Vague" "Small" 2703 0
"2232" 2232 184 "s09" "36:45:54" "Verbal" "Crisp" "Big" 2186 0
"2233" 2233 185 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1757 0
"2234" 2234 186 "s09" "16:25:34" "Verbal" "Crisp" "Big" 2158 0
"2235" 2235 187 "s09" "26:35:44" "Numerical" "Crisp" "Big" 2569 0
"2236" 2236 188 "s09" "36:45:54" "Numerical" "Vague" "Big" 2594 0
"2237" 2237 189 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1169 0
"2238" 2238 190 "s09" "16:25:34" "Numerical" "Vague" "Small" 1667 1
"2239" 2239 191 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1818 0
"2240" 2240 192 "s09" "36:45:54" "Verbal" "Crisp" "Small" 2464 0
"2241" 2241 193 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1143 0
"2242" 2242 194 "s09" "16:25:34" "Numerical" "Crisp" "Small" 1039 1
"2243" 2243 195 "s09" "26:35:44" "Numerical" "Vague" "Big" 1205 0
"2244" 2244 196 "s09" "36:45:54" "Numerical" "Crisp" "Big" 1285 0
"2245" 2245 197 "s09" "6:15:24" "Numerical" "Vague" "Big" 1218 0
"2246" 2246 198 "s09" "16:25:34" "Numerical" "Vague" "Big" 1479 0
"2247" 2247 199 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1733 0
"2248" 2248 200 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1332 0
"2249" 2249 201 "s09" "6:15:24" "Verbal" "Vague" "Small" 1150 0
"2250" 2250 202 "s09" "16:25:34" "Numerical" "Vague" "Big" 1567 0
"2251" 2251 203 "s09" "26:35:44" "Verbal" "Vague" "Big" 2272 0
"2252" 2252 204 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1770 0
"2253" 2253 205 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1321 0
"2254" 2254 206 "s09" "16:25:34" "Numerical" "Vague" "Small" 2793 1
"2255" 2255 207 "s09" "26:35:44" "Numerical" "Crisp" "Big" 1240 0
"2256" 2256 208 "s09" "36:45:54" "Numerical" "Vague" "Big" 1653 0
"2257" 2257 209 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1241 0
"2258" 2258 210 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1493 0
"2259" 2259 211 "s09" "26:35:44" "Numerical" "Vague" "Big" 1401 0
"2260" 2260 212 "s09" "36:45:54" "Numerical" "Vague" "Small" 2823 0
"2261" 2261 213 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1172 0
"2262" 2262 214 "s09" "16:25:34" "Verbal" "Vague" "Big" 1464 0
"2263" 2263 215 "s09" "26:35:44" "Verbal" "Vague" "Small" 1929 0
"2264" 2264 216 "s09" "36:45:54" "Verbal" "Vague" "Small" 2324 0
"2265" 2265 217 "s09" "6:15:24" "Verbal" "Crisp" "Big" 1569 0
"2266" 2266 218 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1585 0
"2267" 2267 219 "s09" "26:35:44" "Numerical" "Vague" "Small" 1832 0
"2268" 2268 220 "s09" "36:45:54" "Verbal" "Crisp" "Small" 1483 0
"2269" 2269 221 "s09" "6:15:24" "Numerical" "Vague" "Big" 2086 0
"2270" 2270 222 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1380 0
"2271" 2271 223 "s09" "26:35:44" "Verbal" "Vague" "Big" 1771 0
"2272" 2272 224 "s09" "36:45:54" "Verbal" "Crisp" "Big" 1400 0
"2273" 2273 225 "s09" "6:15:24" "Verbal" "Vague" "Small" 1278 0
"2274" 2274 226 "s09" "16:25:34" "Verbal" "Crisp" "Big" 1759 0
"2275" 2275 227 "s09" "26:35:44" "Verbal" "Crisp" "Big" 2170 0
"2276" 2276 228 "s09" "36:45:54" "Verbal" "Vague" "Big" 1598 0
"2277" 2277 229 "s09" "6:15:24" "Verbal" "Crisp" "Small" 1209 0
"2278" 2278 230 "s09" "16:25:34" "Verbal" "Vague" "Big" 1357 0
"2279" 2279 231 "s09" "26:35:44" "Numerical" "Crisp" "Big" 1618 0
"2280" 2280 232 "s09" "36:45:54" "Verbal" "Vague" "Small" 1980 0
"2281" 2281 233 "s09" "6:15:24" "Numerical" "Vague" "Small" 1466 1
"2282" 2282 234 "s09" "16:25:34" "Numerical" "Crisp" "Small" 2067 1
"2283" 2283 235 "s09" "26:35:44" "Verbal" "Vague" "Small" 1671 0
"2284" 2284 236 "s09" "36:45:54" "Numerical" "Vague" "Big" 3138 0
"2285" 2285 237 "s09" "6:15:24" "Verbal" "Vague" "Big" 1712 0
"2286" 2286 238 "s09" "16:25:34" "Verbal" "Vague" "Small" 1554 0
"2287" 2287 239 "s09" "26:35:44" "Verbal" "Crisp" "Small" 1387 0
"2288" 2288 240 "s09" "36:45:54" "Numerical" "Vague" "Small" 2473 0
"2289" 2289 241 "s09" "6:15:24" "Verbal" "Vague" "Big" 1540 0
"2290" 2290 242 "s09" "16:25:34" "Verbal" "Crisp" "Small" 1308 0
"2291" 2291 243 "s09" "26:35:44" "Numerical" "Crisp" "Small" 1754 1
"2292" 2292 244 "s09" "36:45:54" "Verbal" "Vague" "Big" 1821 0
"2293" 2293 245 "s09" "6:15:24" "Numerical" "Vague" "Small" 1620 1
"2294" 2294 246 "s09" "16:25:34" "Verbal" "Vague" "Small" 1626 0
"2295" 2295 247 "s09" "26:35:44" "Numerical" "Crisp" "Small" 2287 1
"2296" 2296 248 "s09" "36:45:54" "Numerical" "Crisp" "Big" 1685 0
"2297" 2297 249 "s09" "6:15:24" "Numerical" "Crisp" "Big" 1767 0
"2298" 2298 250 "s09" "16:25:34" "Numerical" "Crisp" "Big" 1928 0
"2299" 2299 251 "s09" "26:35:44" "Numerical" "Vague" "Small" 2769 0
"2300" 2300 252 "s09" "36:45:54" "Numerical" "Crisp" "Small" 2748 1
"2301" 2301 253 "s09" "6:15:24" "Numerical" "Crisp" "Small" 1317 0
