Item	Condition	Order	Quantity	Left	Mid	Right	Instruction	Subject	Instruction_RT	RESPONSE	RT
1	2	2	1	24	15	6	'Choose a square with 6 dots'	14	501	RIGHT	610
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	14	1261	LEFT	646
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	14	902	RIGHT	476
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	14	2129	RIGHT	452
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	15	6741	RIGHT	822
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	15	889	RIGHT	2039
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	15	525	RIGHT	2121
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	15	1291	MIDDLE	1771
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	15	469	RIGHT	2497
2	2	1	2	16	25	34	'Choose a square with 34 dots'	15	559	RIGHT	3985
3	2	2	1	44	35	26	'Choose a square with 26 dots'	15	705	LEFT	1653
4	2	1	1	36	45	54	'Choose a square with 36 dots'	15	1944	MIDDLE	1673
1	2	1	2	6	15	24	'Choose a square with 24 dots'	15	852	RIGHT	4204
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	15	589	MIDDLE	2574
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	15	775	MIDDLE	4554
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	15	646	RIGHT	2148
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	15	702	MIDDLE	1972
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	15	620	RIGHT	2437
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	15	723	LEFT	1624
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	15	509	MIDDLE	1682
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	15	486	LEFT	2394
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	15	1675	RIGHT	1230
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	15	544	LEFT	2180
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	15	584	RIGHT	1161
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	15	507	LEFT	1200
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	15	452	RIGHT	900
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	15	882	MIDDLE	1707
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	15	484	RIGHT	1585
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	15	626	RIGHT	1658
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	15	549	LEFT	905
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	15	505	RIGHT	807
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	15	638	RIGHT	2679
1	2	1	1	6	15	24	'Choose a square with 6 dots'	15	565	LEFT	2131
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	15	875	RIGHT	1963
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	15	1971	RIGHT	835
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	15	501	LEFT	802
1	2	2	2	24	15	6	'Choose a square with 24 dots'	15	479	LEFT	1625
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	15	1197	RIGHT	1234
3	2	1	1	26	35	44	'Choose a square with 26 dots'	15	1053	RIGHT	759
4	2	2	1	54	45	36	'Choose a square with 36 dots'	15	898	MIDDLE	1504
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	15	689	MIDDLE	1631
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	15	436	RIGHT	1404
3	2	1	2	26	35	44	'Choose a square with 44 dots'	15	465	RIGHT	790
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	15	513	RIGHT	2310
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	15	523	RIGHT	959
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	15	1307	MIDDLE	1347
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	15	433	LEFT	2408
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	15	385	RIGHT	1330
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	15	459	LEFT	2345
2	2	1	1	16	25	34	'Choose a square with 16 dots'	15	591	LEFT	1877
3	2	2	2	44	35	26	'Choose a square with 44 dots'	15	544	MIDDLE	2229
4	2	2	2	54	45	36	'Choose a square with 54 dots'	15	460	LEFT	1113
1	2	2	1	24	15	6	'Choose a square with 6 dots'	15	649	RIGHT	841
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	15	1450	LEFT	1270
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	15	543	LEFT	762
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	15	686	LEFT	1940
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	15	358	MIDDLE	1615
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	15	541	RIGHT	720
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	15	519	RIGHT	1249
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	15	533	RIGHT	2144
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	15	483	RIGHT	2272
2	2	2	1	34	25	16	'Choose a square with 16 dots'	15	528	MIDDLE	921
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	15	664	LEFT	816
4	2	1	2	36	45	54	'Choose a square with 54 dots'	15	554	RIGHT	3013
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	15	680	LEFT	1397
2	2	2	2	34	25	16	'Choose a square with 34 dots'	15	450	LEFT	3233
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	15	659	MIDDLE	1482
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	15	605	LEFT	2437
1	2	2	1	24	15	6	'Choose a square with 6 dots'	15	1329	RIGHT	1119
2	2	1	2	16	25	34	'Choose a square with 34 dots'	15	1048	MIDDLE	871
3	2	2	1	44	35	26	'Choose a square with 26 dots'	15	456	LEFT	662
4	2	1	1	36	45	54	'Choose a square with 36 dots'	15	462	RIGHT	748
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	15	578	MIDDLE	1187
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	15	1449	LEFT	1083
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	15	539	LEFT	680
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	15	654	RIGHT	2086
1	2	2	2	24	15	6	'Choose a square with 24 dots'	15	597	LEFT	2259
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	15	657	RIGHT	3255
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	15	1257	RIGHT	2819
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	15	613	RIGHT	4989
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	15	536	LEFT	2611
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	15	572	RIGHT	2342
3	2	2	2	44	35	26	'Choose a square with 44 dots'	15	2049	LEFT	1302
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	15	870	RIGHT	1541
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	15	749	RIGHT	1562
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	15	779	MIDDLE	1164
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	15	554	LEFT	1212
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	15	1119	MIDDLE	1318
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	15	485	RIGHT	1259
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	15	621	LEFT	1686
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	15	832	MIDDLE	1010
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	15	701	RIGHT	1043
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	15	420	RIGHT	1334
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	15	573	LEFT	886
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	15	1335	LEFT	1606
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	15	483	RIGHT	3105
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	15	1207	RIGHT	1451
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	15	471	RIGHT	1243
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	15	623	LEFT	1455
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	15	778	LEFT	1367
1	2	1	1	6	15	24	'Choose a square with 6 dots'	15	516	LEFT	1118
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	15	510	MIDDLE	1346
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	15	745	LEFT	1006
4	2	2	2	54	45	36	'Choose a square with 54 dots'	15	552	LEFT	1676
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	15	544	LEFT	2114
2	2	1	1	16	25	34	'Choose a square with 16 dots'	15	966	LEFT	3394
3	2	1	1	26	35	44	'Choose a square with 26 dots'	15	687	LEFT	3085
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	15	1476	LEFT	3549
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	15	477	MIDDLE	2756
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	15	534	RIGHT	3314
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	15	513	RIGHT	2861
4	2	2	1	54	45	36	'Choose a square with 36 dots'	15	446	LEFT	989
1	2	1	2	6	15	24	'Choose a square with 24 dots'	15	529	RIGHT	1579
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	15	772	LEFT	1198
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	15	588	MIDDLE	1027
4	2	1	2	36	45	54	'Choose a square with 54 dots'	15	718	MIDDLE	3923
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	15	876	MIDDLE	1979
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	15	619	RIGHT	3468
3	2	1	2	26	35	44	'Choose a square with 44 dots'	15	461	RIGHT	2300
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	15	489	RIGHT	661
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	15	326	MIDDLE	1896
2	2	2	2	34	25	16	'Choose a square with 34 dots'	15	556	RIGHT	1047
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	15	569	LEFT	802
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	15	1254	MIDDLE	1911
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	15	682	MIDDLE	1527
2	2	2	1	34	25	16	'Choose a square with 16 dots'	15	528	RIGHT	1454
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	15	46	LEFT	2204
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	15	557	RIGHT	1622
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	15	675	MIDDLE	1417
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	15	1094	RIGHT	1117
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	15	916	RIGHT	1035
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	15	1477	MIDDLE	2686
1	2	1	2	6	15	24	'Choose a square with 24 dots'	15	1313	RIGHT	1057
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	15	507	LEFT	4486
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	15	1043	RIGHT	1172
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	15	618	LEFT	1658
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	15	542	RIGHT	1825
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	15	414	MIDDLE	4535
3	2	1	1	26	35	44	'Choose a square with 26 dots'	15	793	RIGHT	0
4	2	1	1	36	45	54	'Choose a square with 36 dots'	15	599	LEFT	717
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	15	603	MIDDLE	1308
2	2	1	2	16	25	34	'Choose a square with 34 dots'	15	500	MIDDLE	1737
3	2	2	2	44	35	26	'Choose a square with 44 dots'	15	578	LEFT	2644
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	15	764	MIDDLE	1983
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	15	671	RIGHT	807
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	15	633	LEFT	1113
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	15	657	MIDDLE	2663
4	2	2	1	54	45	36	'Choose a square with 36 dots'	15	3167	RIGHT	1290
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	15	812	MIDDLE	2920
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	15	923	LEFT	1816
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	15	710	RIGHT	2220
4	2	1	2	36	45	54	'Choose a square with 54 dots'	15	450	RIGHT	1609
1	2	2	2	24	15	6	'Choose a square with 24 dots'	15	735	MIDDLE	1892
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	15	639	RIGHT	1639
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	15	682	RIGHT	1017
4	2	2	2	54	45	36	'Choose a square with 54 dots'	15	596	MIDDLE	1183
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	15	517	MIDDLE	2543
2	2	1	1	16	25	34	'Choose a square with 16 dots'	15	435	LEFT	1570
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	15	537	RIGHT	941
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	15	685	RIGHT	1657
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	15	611	LEFT	1429
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	15	465	LEFT	1655
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	15	394	MIDDLE	1292
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	15	477	RIGHT	1723
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	15	331	LEFT	854
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	15	616	RIGHT	825
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	15	554	RIGHT	734
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	15	779	RIGHT	1401
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	15	747	LEFT	2151
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	15	448	MIDDLE	4871
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	15	574	MIDDLE	1041
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	15	554	LEFT	837
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	15	678	MIDDLE	2174
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	15	1878	RIGHT	1473
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	15	563	LEFT	1933
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	15	695	MIDDLE	1974
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	15	1230	LEFT	2491
2	2	2	1	34	25	16	'Choose a square with 16 dots'	15	661	RIGHT	3021
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	15	807	LEFT	2384
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	15	776	MIDDLE	1308
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	15	683	MIDDLE	1267
2	2	2	2	34	25	16	'Choose a square with 34 dots'	15	460	MIDDLE	2403
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	15	491	RIGHT	1673
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	15	891	LEFT	1554
1	2	2	1	24	15	6	'Choose a square with 6 dots'	15	601	RIGHT	626
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	15	531	RIGHT	1952
3	2	2	1	44	35	26	'Choose a square with 26 dots'	15	449	LEFT	817
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	15	728	MIDDLE	1576
1	2	1	1	6	15	24	'Choose a square with 6 dots'	15	404	LEFT	740
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	15	594	RIGHT	1643
3	2	1	2	26	35	44	'Choose a square with 44 dots'	15	544	RIGHT	3658
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	15	640	MIDDLE	1381
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	15	627	RIGHT	2307
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	15	519	RIGHT	2363
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	15	926	LEFT	1355
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	15	866	LEFT	2490
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	16	3701	LEFT	869
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	16	3832	LEFT	681
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	16	4673	MIDDLE	894
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	16	5444	LEFT	1302
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	16	4991	RIGHT	1320
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	16	4336	LEFT	921
3	2	1	2	26	35	44	'Choose a square with 44 dots'	16	3856	RIGHT	1227
4	2	2	1	54	45	36	'Choose a square with 36 dots'	16	3510	MIDDLE	1143
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	16	6036	LEFT	1447
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	16	4963	LEFT	1253
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	16	2311	MIDDLE	1235
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	16	3399	LEFT	1161
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	16	3471	RIGHT	1024
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	16	3738	RIGHT	1113
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	16	3905	LEFT	690
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	16	4777	RIGHT	1042
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	16	2373	LEFT	2102
2	2	2	1	34	25	16	'Choose a square with 16 dots'	16	6240	RIGHT	1260
3	2	2	1	44	35	26	'Choose a square with 26 dots'	16	2734	RIGHT	1292
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	16	3658	LEFT	1349
1	2	1	2	6	15	24	'Choose a square with 24 dots'	16	3259	RIGHT	1484
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	16	3422	LEFT	2289
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	16	4486	RIGHT	1250
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	16	3245	LEFT	1405
1	2	1	1	6	15	24	'Choose a square with 6 dots'	16	2521	LEFT	701
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	16	6372	RIGHT	1282
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	16	3364	LEFT	1497
4	2	1	1	36	45	54	'Choose a square with 36 dots'	16	2826	MIDDLE	2243
1	2	2	2	24	15	6	'Choose a square with 24 dots'	16	2640	LEFT	1568
2	2	2	2	34	25	16	'Choose a square with 34 dots'	16	1399	LEFT	2211
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	16	1946	RIGHT	1163
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	16	2297	LEFT	1341
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	16	2867	LEFT	729
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	16	1609	MIDDLE	2388
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	16	1773	LEFT	1263
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	16	1509	RIGHT	838
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	16	2488	RIGHT	732
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	16	1777	RIGHT	1320
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	16	4288	RIGHT	1956
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	16	15660	RIGHT	2057
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	16	5895	LEFT	943
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	16	1643	MIDDLE	2487
3	2	1	1	26	35	44	'Choose a square with 26 dots'	16	1988	LEFT	3164
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	16	2121	MIDDLE	1939
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	16	2372	LEFT	1356
2	2	1	2	16	25	34	'Choose a square with 34 dots'	16	2859	RIGHT	1458
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	16	4092	RIGHT	1950
4	2	1	2	36	45	54	'Choose a square with 54 dots'	16	3728	RIGHT	1478
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	16	3321	MIDDLE	1655
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	16	1875	RIGHT	1486
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	16	2191	RIGHT	1327
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	16	1926	RIGHT	2808
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	16	2657	RIGHT	1592
2	2	1	1	16	25	34	'Choose a square with 16 dots'	16	1174	LEFT	1882
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	16	1966	RIGHT	2357
4	2	2	2	54	45	36	'Choose a square with 54 dots'	16	2328	LEFT	1042
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	16	2219	RIGHT	2330
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	16	4132	LEFT	726
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	16	2339	LEFT	1213
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	16	4721	RIGHT	1268
1	2	2	1	24	15	6	'Choose a square with 6 dots'	16	1270	RIGHT	607
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	16	2234	RIGHT	1223
3	2	2	2	44	35	26	'Choose a square with 44 dots'	16	1338	MIDDLE	1928
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	16	1346	LEFT	1120
1	4	2	1	24	15	6	'Choose a square with fewer than 20 dots'	16	5852	RIGHT	670
2	3	1	2	16	25	34	'Choose a square with far more than 20 dots'	16	1965	RIGHT	749
3	3	1	1	26	35	44	'Choose a square with far fewer than 40 dots'	16	834	RIGHT	1468
4	2	1	1	36	45	54	'Choose a square with 36 dots'	16	2669	LEFT	1684
1	2	2	1	24	15	6	'Choose a square with 6 dots'	16	2598	RIGHT	430
2	3	1	1	16	25	34	'Choose a square with far fewer than 30 dots'	16	6440	LEFT	1019
3	4	1	1	26	35	44	'Choose a square with fewer than 40 dots'	16	1535	LEFT	1358
4	1	1	1	36	45	54	'Choose a square with about 40 dots'	16	1221	MIDDLE	1831
1	2	1	1	6	15	24	'Choose a square with 6 dots'	16	1220	LEFT	2255
2	1	1	2	16	25	34	'Choose a square with about 30 dots'	16	1388	RIGHT	2481
3	3	1	2	26	35	44	'Choose a square with far more than 30 dots'	16	1191	RIGHT	1130
4	3	2	1	54	45	36	'Choose a square with far fewer than 50 dots'	16	1865	RIGHT	1781
1	1	2	1	24	15	6	'Choose a square with about 10 dots'	16	1404	MIDDLE	1976
2	2	1	1	16	25	34	'Choose a square with 16 dots'	16	2784	MIDDLE	1866
3	4	2	2	44	35	26	'Choose a square with more than 30 dots'	16	1039	LEFT	1527
4	2	2	1	54	45	36	'Choose a square with 36 dots'	16	1119	RIGHT	1662
1	2	2	2	24	15	6	'Choose a square with 24 dots'	16	1354	LEFT	1343
2	1	2	1	34	25	16	'Choose a square with about 20 dots'	16	815	RIGHT	1969
3	3	2	2	44	35	26	'Choose a square with far more than 30 dots'	16	1265	LEFT	2161
4	1	2	1	54	45	36	'Choose a square with about 40 dots'	16	1458	LEFT	1620
1	3	2	1	24	15	6	'Choose a square with far fewer than 20 dots'	16	1441	RIGHT	1420
2	2	1	2	16	25	34	'Choose a square with 34 dots'	16	1168	RIGHT	2085
3	4	2	1	44	35	26	'Choose a square with fewer than 40 dots'	16	2041	RIGHT	942
4	4	2	1	54	45	36	'Choose a square with fewer than 50 dots'	16	1228	RIGHT	1926
1	4	1	1	6	15	24	'Choose a square with fewer than 20 dots'	16	2017	LEFT	1037
2	3	2	1	34	25	16	'Choose a square with far fewer than 30 dots'	16	3105	RIGHT	965
3	1	2	1	44	35	26	'Choose a square with about 30 dots'	16	1842	LEFT	1678
4	4	2	2	54	45	36	'Choose a square with more than 40 dots'	16	2153	LEFT	1450
1	1	1	1	6	15	24	'Choose a square with about 10 dots'	16	1166	MIDDLE	2466
2	2	2	2	34	25	16	'Choose a square with 34 dots'	16	1821	RIGHT	1877
3	2	1	2	26	35	44	'Choose a square with 44 dots'	16	8021	RIGHT	836
4	4	1	1	36	45	54	'Choose a square with fewer than 50 dots'	16	1822	LEFT	1811
1	3	1	1	6	15	24	'Choose a square with far fewer than 20 dots'	16	1218	LEFT	667
2	3	2	2	34	25	16	'Choose a square with far more than 20 dots'	16	1443	RIGHT	1350
3	1	2	2	44	35	26	'Choose a square with about 40 dots'	16	11181	LEFT	1764
4	1	2	2	54	45	36	'Choose a square with about 50 dots'	16	1933	LEFT	1388
1	2	1	2	6	15	24	'Choose a square with 24 dots'	16	810	RIGHT	1764
2	1	2	2	34	25	16	'Choose a square with about 30 dots'	16	1235	LEFT	1277
3	4	1	2	26	35	44	'Choose a square with more than 30 dots'	16	1287	RIGHT	583
4	3	1	1	36	45	54	'Choose a square with far fewer than 50 dots'	16	1442	LEFT	1157
1	1	2	2	24	15	6	'Choose a square with about 20 dots'	16	882	LEFT	1353
2	1	1	1	16	25	34	'Choose a square with about 20 dots'	16	2576	MIDDLE	1874
3	1	1	2	26	35	44	'Choose a square with about 40 dots'	16	1182	MIDDLE	2298
4	3	2	2	54	45	36	'Choose a square with far more than 40 dots'	16	1750	LEFT	1503
1	4	1	2	6	15	24	'Choose a square with more than 10 dots'	16	1119	RIGHT	1654
2	2	2	1	34	25	16	'Choose a square with 16 dots'	16	2129	MIDDLE	1035
3	2	2	2	44	35	26	'Choose a square with 44 dots'	16	1142	LEFT	1092
4	3	1	2	36	45	54	'Choose a square with far more than 40 dots'	16	1971	RIGHT	2475
1	4	2	2	24	15	6	'Choose a square with more than 10 dots'	16	952	LEFT	2381
2	4	1	2	16	25	34	'Choose a square with more than 20 dots'	16	1231	RIGHT	594
3	2	2	1	44	35	26	'Choose a square with 26 dots'	16	1556	RIGHT	1698
4	2	1	2	36	45	54	'Choose a square with 54 dots'	16	1157	RIGHT	1267
1	3	2	2	24	15	6	'Choose a square with far more than 10 dots'	16	1389	LEFT	1417
2	4	1	1	16	25	34	'Choose a square with fewer than 30 dots'	16	1149	LEFT	844
3	1	1	1	26	35	44	'Choose a square with about 30 dots'	16	981	RIGHT	2216
4	4	1	2	36	45	54	'Choose a square with more than 40 dots'	16	2047	RIGHT	1923
1	1	1	2	6	15	24	'Choose a square with about 20 dots'	16	846	RIGHT	2079
2	4	2	2	34	25	16	'Choose a square with more than 20 dots'	16	1362	LEFT	1689
3	2	1	1	26	35	44	'Choose a square with 26 dots'	16	787	RIGHT	1597
4	1	1	2	36	45	54	'Choose a square with about 50 dots'	16	3683	RIGHT	1332
1	3	1	2	6	15	24	'Choose a square with far more than 10 dots'	16	1540	RIGHT	1490
2	4	2	1	34	25	16	'Choose a square with fewer than 30 dots'	16	996	RIGHT	1695
3	3	2	1	44	35	26	'Choose a square with far fewer than 40 dots'	16	1146	RIGHT	1751
